id,created_at,updated_at,source_key,pdf_stem,pdf_filename,year,exam_type,exam_session,is_secondary_language,exam_part,problem_number,sub_part,statement_text,solution_text,max_points,formula_image_urls,figure_urls,has_figure,difficulty_level,topic_tags,human_reviewed,reviewed_by,reviewed_at,ocr_used,notes,problem_image_url
424d5453-3759-437f-84aa-fda1328e45b7,2026-03-28 16:44:49.328732+00,2026-03-28 21:14:11.751579+00,e_mat_25maj_fl__001__a,e_mat_25maj_fl,e_mat_25maj_fl.pdf,2025,emelt,majus,false,I,1,a,"Egy cipőboltban novemberben három pár cipő összesen 45 000 Ft-ba került. Egy kará-
csonyi akció keretében, ha valaki három pár cipőt egyszerre vásárolt, akkor a legolcsóbbat
50%, a második legolcsóbbat pedig 20% kedvezménnyel vehette meg (a legdrágább ci-
pőre nem járt kedvezmény). Ebben az akcióban ugyanezért a három pár cipőért így ösz-
szesen már csak 37 000 Ft-ot kellett fizetni.
Karácsony elmúltával az akció véget ért, és a legolcsóbb cipő árát – a novemberi árához
képest – 30%-kal megemelték, így a három pár cipő ekkor összesen 48 000 Ft-ba került.
a) Határozza meg mindhárom pár cipő novemberi árát!
Négy szám közül az első három szám egy számtani, az utolsó három szám pedig egy
mértani sorozat egymást követő három tagja. Az első szám a 3, a negyedik szám a 25.",null,14,[],[],false,konnyu,"[""egyenletek"",""szovegfeladas""]",true,Farkas Áron,2026-03-28 21:14:11.751579+00,false,,https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/e_mat_25maj_fl/crops/e_mat_25maj_fl_prob_001.png
ca12a7da-6c0e-4da8-b652-4d2bcd1c9792,2026-03-28 16:46:25.096326+00,2026-04-13 08:22:59.78092+00,k_mat_10maj_fl__016__a,k_mat_10maj_fl,k_mat_10maj_fl.pdf,2010,kozep,majus,false,II,16,a,"Egy középiskolába 620 tanuló jár. Az iskola diákbizottsága az iskolanapra három
kiadványt jelentetett meg:
I. Diákok Hangja
II. Iskolaélet
III. Miénk a suli!
Később felmérték, hogy ezeknek a kiadványoknak milyen volt az olvasottsága az iskola
tanulóinak körében.
A Diákok Hangját a tanulók 25%-a, az Iskolaéletet 40%-a, a Miénk a suli! c. kiadványt
pedig 45%-a olvasta. Az első két kiadványt a tanulók 10%-a, az első és harmadik
kiadványt 20%-a, a másodikat és harmadikat 25%-a, mindhármat pedig 5%-a olvasta.

2 pont
a)
b)

c)
d)
A 16-18. feladatok közül tetszés szerint választott kettőt kell megoldania, a
kihagyott feladat sorszámát írja be a 3. oldalon lévő üres négyzetbe!",null,17,[],[],false,null,"[""halmazok"",""valoszinuseg"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_10maj_fl/crops/k_mat_10maj_fl_prob_016.png
b247c23f-6907-4843-8efb-4627c03261c4,2026-03-28 16:46:32.530594+00,2026-04-13 08:29:26.420259+00,k_mat_08okt_fl__016__d,k_mat_08okt_fl,k_mat_08okt_fl.pdf,2008,kozep,oktober,false,II,16,d,"Egy fa építőjáték-készlet négyféle, különböző méretű téglatestfajtából áll. A készletben
a különböző méretű elemek mindegyikéből 10 db van. Az egyik téglatest, nevezzük
alapelemnek, egy csúcsából induló éleinek hossza: 8 cm, 4 cm, 2 cm. A többi elem
méreteit úgy kapjuk, hogy az alapelem valamelyik 4 párhuzamos élének a hosszát
megduplázzuk, a többi él hosszát pedig változatlanul hagyjuk.

A teljes készletből öt elemet kiveszünk. (A kiválasztás során minden elemet
d)
azonos valószínűséggel választunk.) Mekkora valószínűséggel lesz mind az öt
kiválasztott elem négyzetes oszlop? (A valószínűség értékét három tizedesjegy
pontossággal adja meg!)

a)
b)
c)
d)
Ö.:
A 16-18. feladatok közül tetszés szerint választott kettőt kell megoldania, a
kihagyott feladat sorszámát írja be a 3. oldalon lévő üres négyzetbe!",null,17,[],[],false,null,"[""geometria-ter"",""valoszinuseg"",""kombinatorika"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_08okt_fl/crops/k_mat_08okt_fl_prob_016.png
0f459cc1-3386-4ceb-b1a0-54d924cee568,2026-03-28 16:45:12.222058+00,2026-04-13 09:41:17.836872+00,k_mat_22maj_fl__016__d,k_mat_22maj_fl,k_mat_22maj_fl.pdf,2022,kozep,majus,false,II,16,d,"Az új autók értéke a megvásárlás pillanatától kezdve csökken. A csökkenés mértékét kü-
lönböző modellekkel lehet becsülni.
A lineáris becslési módszer szerint az autó minden hónapban ugyanannyi forintot veszít
az értékéből.

d) Hány darabbal kell növelnie hónapról hónapra az eladást a terv szerint?

a)
b)
c)
d)
Ö.:
A 16-18. feladatok közül tetszése szerint választott kettőt kell megoldania.
A kihagyott feladat sorszámát írja be a 3. oldalon lévő üres négyzetbe!",null,17,[],[],false,null,"[""exponencialis"",""sorozatok"",""szovegfeladas"",""egyenletek""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_22maj_fl/crops/k_mat_22maj_fl_prob_016.png
35511607-296d-4b0d-a46f-c0c65e6cbe67,2026-03-28 16:45:29.970381+00,2026-04-13 09:57:20.760602+00,k_mat_19okt_fl__016__a,k_mat_19okt_fl,k_mat_19okt_fl.pdf,2019,kozep,oktober,false,II,16,a,"Egy A4-es papírlapot négy egyforma kisebb lapra vágtunk. Ezekre a kisebb lapokra fel-
írtuk az 1, 2, 3, 4 számokat, mindegyik lapra egy számot. A négy lapot véletlenszerűen
sorba rakjuk.
a) Mennyi annak a valószínűsége, hogy így sem két páros, sem két páratlan szám nem
kerül egymás mellé?
Egy A4-es papírlap vastagsága 0,1 mm. Egy ilyen papírlapot kettévágunk, majd a kelet-
kező két fél lapot egymásra tesszük. Az így kapott „kupacot” ismét kettévágjuk, és a ke-
letkező négy negyedlapot egymásra tesszük (a kupac magassága ekkor 0,4 mm). Ezt a
műveletet tovább folytatjuk, tehát először egy vágással a kupacot kettévágjuk, majd a
keletkező lapokat egymásra tesszük. Azt tervezzük, hogy ezt a műveletet összesen
20-szor hajtjuk végre. Luca szerint, ha ezt meg tudnánk tenni, akkor a 20 vágás és egy-
másra rakás után keletkező kupac magasabb lenne, mint 100 méter.",null,17,[],[],false,null,"[""valoszinuseg"",""kombinatorika"",""exponencialis"",""geometria-sik"",""logika"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_19okt_fl/crops/k_mat_19okt_fl_prob_016.png
0cc6fef9-b535-4fc0-ae67-85ebc43fcb91,2026-03-28 16:45:30.429755+00,2026-04-13 09:58:01.74579+00,k_mat_19okt_fl__018__b,k_mat_19okt_fl,k_mat_19okt_fl.pdf,2019,kozep,oktober,false,II,18,b,"Egy 125 férőhelyes szállodában összesen 65 szoba van: egy-, két- és háromágyasak.

b) Határozza meg annak a valószínűségét, hogy Aladár és Balázs kerül a 102-es szo-
bába!
Érkezésük után a vendégek a szálloda éttermében vacsoráztak. Vacsorájukra várva látták,
hogy az egyik pincér – sietős mozdulatai közben – leejtett és összetört egy tányért.
A szálloda pincérei felszolgálás közben átlagosan minden kétezredik tányért összetörik
1
(ezt tekinthetjük úgy, hogy 2000
annak a valószínűsége, hogy egy adott tányért össze-
törnek). A pincérek a következő vacsora alkalmával összesen 150 tányért szolgálnak fel.",null,17,[],[],false,null,"[""egyenletek"",""valoszinuseg"",""kombinatorika"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_19okt_fl/crops/k_mat_19okt_fl_prob_018.png
fea98985-e10c-48cd-b01d-7aaf1d057cbd,2026-03-28 16:46:13.037315+00,2026-04-13 11:50:17.294152+00,k_mat_13maj_fl__002__,k_mat_13maj_fl,k_mat_13maj_fl.pdf,2013,kozep,majus,false,I,2,null,"Egy kis cégnél nyolcan dolgoznak: hat beosztott és két főnök. A főnökök átlagos havi
jövedelme 190 000 Ft, a beosztottaké 150 000 Ft.
Hány forint a cég nyolc dolgozójának átlagos havi jövedelme?

A dolgozók átlagos havi
jövedelme:                                 Ft",null,2,[],[],false,null,"[""statisztika"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_13maj_fl/crops/k_mat_13maj_fl_prob_002.png
75e57498-0743-4db5-9b78-bde2bde47ec7,2026-03-28 16:45:17.098455+00,2026-04-13 09:46:06.05583+00,e_mat_21okt_fl__004__a,e_mat_21okt_fl,e_mat_21okt_fl.pdf,2021,emelt,oktober,false,I,4,a,"Egy többnapos nemzetközi matematikakonferencia minden
résztvevője belépőkártyát kap, amelyen a PQRST konvex öt-
szög és annak átlói láthatók. A szervezők úgy tervezik, hogy
egy-egy belépőkártyán az ötszög oldalai és átlói közül vala-
hányat (egyet vagy többet, akár az összeset, de az is lehet,
hogy egyet sem) megvastagítanak, így a különböző szemé-
lyek különböző ábrájú kártyát kapnak. Az elektronikus kapu
optikai leolvasója ez alapján engedélyezi a belépést, és el-
végzi a személy regisztrációját. (Két belépőkártya külön-
böző, ha az egyiken szerepel olyan megvastagított szakasz,
amelyik a másikon nem.)
A konferenciának 400 résztvevője lesz.
a) Jut-e mindenkinek különböző belépőkártya?
A konferencia épülete egy háromszög alakú területen van. Ha a háromszög csúcsai A, B
és C, akkor AB = AC = 130 méter, és BC = 100 méter. A háromszög alakú területet ketté-
osztja az egyenes CD kerítés úgy, hogy a BCD háromszög alakú rész területe 2000 m2.
(D az AB oldalon van.)",null,14,[],[],false,null,"[""kombinatorika"",""geometria-sik"",""statisztika"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/e_mat_21okt_fl/crops/e_mat_21okt_fl_prob_004.png
17136b70-dff1-4043-9d10-3d8690d6ae7f,2026-03-28 16:46:21.145622+00,2026-04-13 07:57:33.828775+00,k_mat_11maj_fl__014__b,k_mat_11maj_fl,k_mat_11maj_fl.pdf,2011,kozep,majus,false,II,14,b,"Egy autó ára újonnan 2 millió 152 ezer forint, a megvásárlása után öt évvel ennek
az autónak az értéke 900 ezer forint.

b)
Az első öt év során ennek az autónak az értéke minden évben az előző évi érté-
kének ugyanannyi százalékával csökken. Hány százalék ez az éves csökkenés?
Válaszát egész százalékra kerekítve adja meg!

a)
b)
Ö.:
B
A 16-18. feladatok közül tetszés szerint választott kettőt kell megoldania,
a kihagyott feladat sorszámát írja be a 3. oldalon lévő üres négyzetbe!",null,12,[],[],false,null,"[""exponencialis"",""egyenletek"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_11maj_fl/crops/k_mat_11maj_fl_prob_014.png
8618a8fd-4cf3-4946-acaf-9c7976db24e7,2026-03-28 16:45:22.794596+00,2026-04-13 09:51:07.48239+00,k_mat_20okt_fl__016__b,k_mat_20okt_fl,k_mat_20okt_fl.pdf,2020,kozep,oktober,false,II,16,b,"A Föld Nap körüli pályájának hossza kb. 939 millió km. A Föld egy teljes Nap körüli
„kört” kb. 365,25 nap alatt tesz meg.

b) Számítsa ki a Neptunusz kilométerben mért távolságát a Naptól! Válaszát normál-
alakban adja meg! (A fény egy másodperc alatt kb. 300 000 km-t tesz meg.)
A Naprendszer bolygói: Merkúr, Vénusz, Föld, Mars, Jupiter, Szaturnusz, Uránusz és
Neptunusz. Egy földrajzdolgozatban a Naptól való távolságuk sorrendjében kell megadni
a bolygókat. Judit csak abban biztos, hogy a Föld a harmadik a sorban, a Neptunusz pedig
a legutolsó. Ezeket helyesen írja a megfelelő helyre. Emlékszik még arra is, hogy a Nap-
hoz a Merkúr és a Vénusz van a legközelebb, de a sorrendjüket nem tudja, így e két bolygó
sorrendjére is csak tippel. Végül a többi négy bolygó nevét véletlenszerűen írja be a meg-
maradt helyekre.",null,17,[],[],false,null,"[""szamok-muveletek"",""valoszinuseg"",""kombinatorika"",""szovegfeladas""]",true,null,null,false,[AI:claude-sonnet-4-6],https://grdrmuauenfiewmoapvu.supabase.co/storage/v1/object/public/problem-images/k_mat_20okt_fl/crops/k_mat_20okt_fl_prob_016.png
